"Title-module__anchor--GmXUE href","Title-module__anchor--GmXUE","ReposListItem-module__Label_2--Z6b0K","Text__StyledText-sc-1klmep6-0","ReposListItem-module__Text_4--mkG7R","ReposListItem-module__Link_1--v5NDF","ReposListItem-module__Link_1--v5NDF href","ReposListItem-module__Link_1--v5NDF 2","ReposListItem-module__Link_1--v5NDF href 2","ReposListItem-module__Box_6--KXqca 3","ReposListItem-module__Link_1--v5NDF 3","ReposListItem-module__Link_1--v5NDF href 3"
"https://github.com/frappe/books_docs","books_docs","Public","Frappe Books documentation","Shell","42","https://github.com/frappe/books_docs/forks","11","https://github.com/frappe/books_docs/stargazers","•","7","https://github.com/frappe/books_docs/pulls"
"https://github.com/frappe/taxjar_integration","taxjar_integration","Public","","Python","15","https://github.com/frappe/taxjar_integration/forks","7","https://github.com/frappe/taxjar_integration/stargazers","•","0","https://github.com/frappe/taxjar_integration/pulls"
"https://github.com/frappe/rq","rq","Public","Simple job queues for Python","Python","1.5k","https://github.com/frappe/rq/forks","2","https://github.com/frappe/rq/stargazers","•","0","https://github.com/frappe/rq/pulls"
"https://github.com/frappe/fc_saas_helper","fc_saas_helper","Public","","Python","7","https://github.com/frappe/fc_saas_helper/forks","5","https://github.com/frappe/fc_saas_helper/stargazers","•","0","https://github.com/frappe/fc_saas_helper/pulls"
"https://github.com/frappe/insights_docs","insights_docs","Public","Frappe Insights Documentation","Shell","27","https://github.com/frappe/insights_docs/forks","9","https://github.com/frappe/insights_docs/stargazers","•","1","https://github.com/frappe/insights_docs/pulls"
"https://github.com/frappe/meeting","meeting","Public","Prepare agenda, invite users and record minutes of a meeting","HTML","91","https://github.com/frappe/meeting/forks","44","https://github.com/frappe/meeting/stargazers","•","5","https://github.com/frappe/meeting/pulls"
"https://github.com/frappe/erpnext_price_estimation","erpnext_price_estimation","Public","","JavaScript","52","https://github.com/frappe/erpnext_price_estimation/forks","42","https://github.com/frappe/erpnext_price_estimation/stargazers","•","1","https://github.com/frappe/erpnext_price_estimation/pulls"
"https://github.com/frappe/non_profit","non_profit","Public archive","Non Profit module for Frappe/ERPNext","Python","89","https://github.com/frappe/non_profit/forks","55","https://github.com/frappe/non_profit/stargazers","•","4","https://github.com/frappe/non_profit/pulls"
"https://github.com/frappe/frappe-client","frappe-client","Public","Python library to use Frappe API","Python","156","https://github.com/frappe/frappe-client/forks","135","https://github.com/frappe/frappe-client/stargazers","•","7","https://github.com/frappe/frappe-client/pulls"
"https://github.com/frappe/erpnext-14","erpnext-14","Public","Free and Open Source Enterprise Resource Planning (ERP)","Python","9.7k","https://github.com/frappe/erpnext-14/forks","3","https://github.com/frappe/erpnext-14/stargazers","•","1","https://github.com/frappe/erpnext-14/pulls"
